ESP-ROM:esp32c6-20220919
Build:Sep 19 2022
rst:0x1 (POWERON),boot:0x1c (SPI_FAST_FLASH_BOOT)
SPIWP:0xee
mode:DIO, clock div:2
load:0x40875730,len:0x1278
load:0x4086b910,len:0xdd0
load:0x4086e610,len:0x3154
entry 0x4086b910

═══════════════════╗
  MediTwin AI — Sensor Test & Calibrate ║
═════════════╝
alised
[SENSOR] HC-SR04 ready



  1=LDR  2=MQ135  3=HC-SR04  4=DHT22
2C scan  9=ALL  0=Stability
n OFF  B=Buzzer  R=Breathing
tor automat)  ?=Help


┐
│  Fan Test (relay/MOSFET)                 │
─────────────────┘
  → watch ACS712 current rise if wired in series.
Fan  → ON
 Current while ON: 0.238 A
[ACTUATOR] Fan  → OFF
  Fan OFF.

  1=LDR  2=MQ135  3=HC-SR04  4=DHT22
C scan  9=ALL  0=Stability
 OFF  B=Buzzer  R=Breathing
or automat)  ?=Help


┐
│  LDR — Light Sensor                    │
─────────────────┘
nsor (dark) then expose to light.
Press any key to stop.

 ADC raw: 2693  |  65.8 %  [NORMAL]
 ADC raw: 2669  |  65.2 %  [NORMAL]
 ADC raw: 2675  |  65.3 %  [NORMAL]
 ADC raw: 2681  |  65.5 %  [NORMAL]
 ADC raw: 2683  |  65.5 %  [NORMAL]
 ADC raw: 2692  |  65.7 %  [NORMAL]
 ADC raw: 2699  |  65.9 %  [NORMAL]
 ADC raw: 2703  |  66.0 %  [NORMAL]
 ADC raw: 2704  |  66.0 %  [NORMAL]
 ADC raw: 2703  |  66.0 %  [NORMAL]
 ADC raw: 2704  |  66.0 %  [NORMAL]
 ADC raw: 2701  |  66.0 %  [NORMAL]
 ADC raw: 2699  |  65.9 %  [NORMAL]
 ADC raw: 2700  |  65.9 %  [NORMAL]
 ADC raw: 2698  |  65.9 %  [NORMAL]
 ADC raw: 2694  |  65.8 %  [NORMAL]
 ADC raw: 2690  |  65.7 %  [NORMAL]
 ADC raw: 2684  |  65.5 %  [NORMAL]
 ADC raw: 2680  |  65.4 %  [NORMAL]
 ADC raw: 2676  |  65.3 %  [NORMAL]
 ADC raw: 2667  |  65.1 %  [NORMAL]
 ADC raw: 2655  |  64.8 %  [NORMAL]
 ADC raw: 2647  |  64.6 %  [NORMAL]
 ADC raw: 2640  |  64.5 %  [NORMAL]
 ADC raw: 2638  |  64.4 %  [NORMAL]
 ADC raw: 2641  |  64.5 %  [NORMAL]
 ADC raw: 2646  |  64.6 %  [NORMAL]
 ADC raw: 2657  |  64.9 %  [NORMAL]
