ESP-ROM:esp32c6-20220919
Build:Sep 19 2022
rst:0x1 (POWERON),boot:0xc (SPI_FAST_FLASH_BOOT)
SPIWP:0xee
mode:DIO, clock div:2
load:0x40875730,len:0x1278
load:0x4086b910,len:0xdd0
load:0x4086e610,len:0x3154
entry 0x4086b910

╔═══════════════════════════════════════╗
║  MediTwin AI — Sensor Test & Calibrate ║
╚═══════════════════════════════════════╝
[SENSOR] DHT22 initialised
[SENSOR] HC-SR04 ready

[READY] Hardware initialised.

  1=LDR  2=MQ135  3=HC-SR04  4=DHT22  5=BMP280
  6=MPU6050  7=ACS712  8=I2C scan  9=ALL  0=Stability
  L=LED  F=Fan  S=Servo  B=Buzzer  R=Breathing  ?=Help


┌─────────────────────────────────────────┐
│  LDR — Light Sensor                    │
└─────────────────────────────────────────┘
Cover sensor (dark) then expose to light.
Press any key to stop.

  ADC raw:  702  |  17.1 %  [DARK]
  ADC raw:  706  |  17.2 %  [DARK]
  ADC raw:  710  |  17.3 %  [DARK]
  ADC raw:  709  |  17.3 %  [DARK]
  ADC raw:  706  |  17.2 %  [DARK]
  ADC raw:  707  |  17.3 %  [DARK]
  ADC raw:  705  |  17.2 %  [DARK]
  ADC raw:  708  |  17.3 %  [DARK]
  ADC raw:  706  |  17.2 %  [DARK]
  ADC raw:  708  |  17.3 %  [DARK]
  ADC raw:  710  |  17.3 %  [DARK]
  ADC raw:  711  |  17.4 %  [DARK]
  ADC raw:  709  |  17.3 %  [DARK]
  ADC raw:  711  |  17.4 %  [DARK]
  ADC raw:  730  |  17.8 %  [DARK]
  ADC raw: 1146  |  28.0 %  [DARK]
  ADC raw: 2646  |  64.6 %  [NORMAL]
  ADC raw: 2672  |  65.3 %  [NORMAL]
  ADC raw: 2655  |  64.8 %  [NORMAL]
  ADC raw: 2660  |  65.0 %  [NORMAL]
  ADC raw: 2678  |  65.4 %  [NORMAL]
  ADC raw: 2685  |  65.6 %  [NORMAL]
  ADC raw: 2675  |  65.3 %  [NORMAL]
  ADC raw: 1062  |  25.9 %  [DARK]
  ADC raw:  774  |  18.9 %  [DARK]
  ADC raw:  746  |  18.2 %  [DARK]
  ADC raw:  739  |  18.0 %  [DARK]
  ADC raw:  722  |  17.6 %  [DARK]
  ADC raw:  719  |  17.6 %  [DARK]
  ADC raw:  717  |  17.5 %  [DARK]
  ADC raw:  710  |  17.3 %  [DARK]
  ADC raw:  709  |  17.3 %  [DARK]

